date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:44:12	28327/28327	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202014%2015:44:03%20GMT	http://dyn.com/email-delivery-express/	C:/My%20Web%20Sites/DynDns/dyn.com/email-delivery-express/index.html	(from http://dyn.com/)
11:44:20	135981/135981	---MC-	200	added ('OK')	image/jpeg	etag:%223f356-2132d-4fadb08e74a40%22	http://dyn.com/wp-content/uploads/2014/06/WP-Homepage-WP019-opt.jpg	C:/My%20Web%20Sites/DynDns/dyn.com/wp-content/uploads/2014/06/WP-Homepage-WP019-opt.jpg	(from http://dyn.com/)
11:44:20	93435/93435	---MC-	200	added ('OK')	text/javascript	date:Fri,%2021%20Sep%202012%2018:24:20%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.8.2/jquery.min.js	C:/My%20Web%20Sites/DynDns/ajax.googleapis.com/ajax/libs/jquery/1.8.2/jquery.min.js	(from http://dyn.com/)
11:44:20	2189/2189	---M-Z	200	added ('OK')	application/javascript	etag:%229af7-88d-4e827f1af2ac0%22	http://dyn.com/wp-content/themes/dynamic/js/main-02.min.js?v=20131007	C:/My%20Web%20Sites/DynDns/dyn.com/wp-content/themes/dynamic/js/main-02.min29a5.js	(from http://dyn.com/)
11:44:21	29841/29841	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202014%2015:44:12%20GMT	http://dyn.com/reputation-management/	C:/My%20Web%20Sites/DynDns/dyn.com/reputation-management/index.html	(from http://dyn.com/)
11:44:21	153/153	---M-Z	200	added ('OK')	application/javascript	etag:%229fc2-99-4f3536c522300%22	http://dyn.com/wp-content/themes/dynamic/js/site-scripts.js	C:/My%20Web%20Sites/DynDns/dyn.com/wp-content/themes/dynamic/js/site-scripts.js	(from http://dyn.com/)
11:44:21	30673/30673	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202014%2015:44:12%20GMT	http://dyn.com/email-delivery/	C:/My%20Web%20Sites/DynDns/dyn.com/email-delivery/index.html	(from http://dyn.com/)
11:44:21	24704/24704	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202014%2015:44:12%20GMT	http://dyn.com/free-email-test/	C:/My%20Web%20Sites/DynDns/dyn.com/free-email-test/index.html	(from http://dyn.com/)
11:44:21	199/199	---M-Z	200	added ('OK')	application/javascript	etag:%2241a86-c7-4ef5035a0dec0%22	http://dyn.com/wp-content/themes/dynamic/js/dynevents.min.js?v=20140106	C:/My%20Web%20Sites/DynDns/dyn.com/wp-content/themes/dynamic/js/dynevents.min26f8.js	(from http://dyn.com/)
11:44:21	8554/8554	---M-Z	200	added ('OK')	application/javascript	etag:%229af3-216a-4f353784d2740%22	http://dyn.com/wp-content/themes/dynamic/js/smartling.min.js?v=20140226	C:/My%20Web%20Sites/DynDns/dyn.com/wp-content/themes/dynamic/js/smartling.min458c.js	(from http://dyn.com/)
11:44:21	166918/166918	---MC-	200	added ('OK')	image/jpeg	etag:%223f1a2-28c06-4fb1b77b6cc80%22	http://dyn.com/wp-content/uploads/2014/06/WB024_Homepage_PRE_A.jpg	C:/My%20Web%20Sites/DynDns/dyn.com/wp-content/uploads/2014/06/WB024_Homepage_PRE_A.jpg	(from http://dyn.com/)
11:44:22	33/33	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202014%2015:44:13%20GMT	http://dyn.com/user_data.js?id=4&pid=0&gid=0&title=How+does+Dyn+deliver%3F&temp=static-home.php	C:/My%20Web%20Sites/DynDns/dyn.com/user_data9a8a.js	(from http://dyn.com/)
11:44:22	29665/29665	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202014%2015:44:13%20GMT	http://dyn.com/domain-services/	C:/My%20Web%20Sites/DynDns/dyn.com/domain-services/index.html	(from http://dyn.com/)
11:44:22	243/243	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Wed,%2018%20Jun%202014%2015:44:13%20GMT	http://dyn.com/dns/domain-registration/	C:/My%20Web%20Sites/DynDns/dyn.com/dns/domain-registration/index.html	(from http://dyn.com/)
11:44:22	236/236	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Wed,%2018%20Jun%202014%2015:44:13%20GMT	http://dyn.com/dns/dyn-standard-dns/	C:/My%20Web%20Sites/DynDns/dyn.com/dns/dyn-standard-dns/index.html	(from http://dyn.com/)
11:44:22	908/908	---M-Z	200	added ('OK')	application/javascript	etag:%22a063-38c-4d76f2b70d840%22	http://dyn.com/wp-content/themes/dynamic/js/home-rotate.js	C:/My%20Web%20Sites/DynDns/dyn.com/wp-content/themes/dynamic/js/home-rotate.js	(from http://dyn.com/)
11:44:22	1435/1435	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2018%20Jun%202014%2015:44:14%20GMT	http://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/DynDns/www.googletagmanager.com/gtm5445.js	(from http://dyn.com/)
11:44:23	237/237	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Wed,%2018%20Jun%202014%2015:44:14%20GMT	http://dyn.com/dns/secondary-dns/	C:/My%20Web%20Sites/DynDns/dyn.com/dns/secondary-dns/index.html	(from http://dyn.com/)
11:44:23	26709/26709	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202014%2015:44:14%20GMT	http://dyn.com/remote-access/	C:/My%20Web%20Sites/DynDns/dyn.com/remote-access/index.html	(from http://dyn.com/)
11:44:23	23985/23985	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202014%2015:44:14%20GMT	http://dyn.com/performance-assurance/	C:/My%20Web%20Sites/DynDns/dyn.com/performance-assurance/index.html	(from http://dyn.com/)
11:44:24	27067/27067	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202014%2015:44:15%20GMT	http://dyn.com/infrastructure-operations/	C:/My%20Web%20Sites/DynDns/dyn.com/infrastructure-operations/index.html	(from http://dyn.com/)
11:44:24	27652/27652	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202014%2015:44:15%20GMT	http://dyn.com/business-executives/	C:/My%20Web%20Sites/DynDns/dyn.com/business-executives/index.html	(from http://dyn.com/)
11:44:24	27003/27003	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202014%2015:44:15%20GMT	http://dyn.com/business-continuity/	C:/My%20Web%20Sites/DynDns/dyn.com/business-continuity/index.html	(from http://dyn.com/)
11:44:24	27099/27099	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202014%2015:44:15%20GMT	http://dyn.com/cloud-adoption/	C:/My%20Web%20Sites/DynDns/dyn.com/cloud-adoption/index.html	(from http://dyn.com/)
11:44:25	28858/28858	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202014%2015:44:16%20GMT	http://dyn.com/cdn/	C:/My%20Web%20Sites/DynDns/dyn.com/cdn/index.html	(from http://dyn.com/)
11:44:25	26341/26341	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202014%2015:44:16%20GMT	http://dyn.com/transactional-email/	C:/My%20Web%20Sites/DynDns/dyn.com/transactional-email/index.html	(from http://dyn.com/)
11:44:25	40221/40221	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202014%2015:44:16%20GMT	http://dyn.com/product-wizard/	C:/My%20Web%20Sites/DynDns/dyn.com/product-wizard/index.html	(from http://dyn.com/)
11:44:26	26283/26283	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Jun%202014%2015:44:16%20GMT	http://dyn.com/home-users/	C:/My%20Web%20Sites/DynDns/dyn.com/home-users/index.html	(from http://dyn.com/)
